Principio Activo,Farmacia,Descripción,Precio en Pesos Chilenos,Precio en UF
ácido acetilsalicílico,Ahumada,Acido Acetilsalic.100mg 100com.,3745.0,0.11327707087575427
ácido acetilsalicílico,Ahumada,Cardioaspirina EC 325 mg x 30 Comprimidos Con Recubrimiento Entérico,16245.0,0.49137143294436
ácido acetilsalicílico,Ahumada,Cardioaspirina EC 100 mg x 50 Comprimidos Con Recubrimiento Entérico,11195.0,0.3386213106686433
ácido acetilsalicílico,Ahumada,Nexium 20 mg x 28 Comprimidos Con Recubrimiento Entérico,26995.0,0.8165325843233608
losartán,Ahumada,"Losartan + Hidroclorotiazida 50 mg_12,5 mg x 30 Comprimidos Recubiertos",5395.0,0.16318552666881025
losartán,Ahumada,"Simperten-D 50 mg/12,5 mg x 30 Comprimidos Recubiertos",27395.0,0.8286316039095563
losartán,Ahumada,Simperten 50 mg x 30 Comprimidos Recubiertos,7695.0,0.2327548892894337
losartán,Ahumada,"Hyzaar 50 mg/12,5 mg x 30 Comprimidos Recubiertos",23895.0,0.7227651825303466
losartán,Ahumada,Hyzaar Forte 100 mg/25 mg x 30 Comprimidos Recubiertos,19895.0,0.6017749866683928
losartán,Ahumada,Simperten-D 100 mg/25 mg x 30 Comprimidos Recubiertos,29745.0,0.8997133439784541
losartán,Ahumada,Cozaar 50 mg x 30 Comprimidos Recubiertos,22895.0,0.6925176335648582
losartán,Ahumada,Cozaar 100 mg x 30 Comprimidos Recubiertos,23995.0,0.7257899374268955
losartán,Ahumada,Corodin 100mg. Caja 30 Comp.,21195.0,0.6410968003235278
losartán,Ahumada,Losapres 100 mg x 30 Comprimidos Recubiertos,19595.0,0.5927007219787462
losartán,Ahumada,Corodin 50 mg x 30 Comprimidos Recubiertos,23095.0,0.6985671433579559
losartán,Ahumada,Losapres 50 mg x 30 Comprimidos Recubiertos,26295.0,0.7953593000475191
losartán,Ahumada,Corodin D Forte x 30 Comprimidos Recubiertos,29195.0,0.8830771920474354
losartán,Ahumada,Corodin D x 30 Comprimidos Recubiertos,31895.0,0.9647455742542542
losartán,Ahumada,Losapres D 100 mg/25 mg x 30 Comprimidos Recubiertos,25595.0,0.774186015771677
losartán,Ahumada,"Losapres D 50 mg/12,5 mg x 30 Comprimidos Recubiertos",25395.0,0.7681365059785793
metformina,Ahumada,Metformina Clorhidrato 850mg. 60com.,2995.0,0.09059140915163792
metformina,Ahumada,Trayenta 5 mg x 30 Comprimidos Recubiertos,47195.0,1.4275330734262277
metformina,Ahumada,Metformina 850mg. Caja 30 Comp.Rec,2495.0,0.0754676346688937
metformina,Ahumada,"Trayenta Duo 2,5 mg/500 mg x 60 Comprimidos Recubiertos",45195.0,1.3670379754952506
metformina,Ahumada,Janumet 50 mg/850 mg x 56 Comprimidos Recubiertos,55395.0,1.675562974943233
metformina,Ahumada,Victoza 6 mg/mL x 1 Dispositivo Prellenado Solucion Inyectable,84595.0,2.558791404735496
metformina,Ahumada,"Trayenta Duo 2,5 mg/850 mg x 60 Comprimidos Recubiertos",46595.0,1.4093845440469346
metformina,Ahumada,"Trayenta Duo 2,5 mg/1000 mg x 60 Comprimidos Recubiertos",47195.0,1.4275330734262277
metformina,Ahumada,Galvus Met 50 mg/850 mg x 56 Comprimidos Recubiertos,53595.0,1.6211173868053537
metformina,Ahumada,"Jardiance Duo 12,5 mg/1000 mg x 60 Comprimidos Recubiertos",47295.0,1.4305578283227764
metformina,Ahumada,Galvus Met 50 mg/500 mg x 28 Comprimidos Recubiertos,32495.0,0.9828941036335472
metformina,Ahumada,Galvus Met 50 mg/500 mg x 56 Comprimidos Recubiertos,58095.0,1.7572313571500515
metformina,Ahumada,GLAFORNIL 1000MG. CAJA 30 COMP.,26095.0,0.7893097902544213
metformina,Ahumada,Glafornil 500 mg x 30 Comprimidos Recubiertos,10195.0,0.3083737617031548
metformina,Ahumada,Glafornil 850 mg x 30 Comprimidos Recubiertos,15895.0,0.480784790806439
metformina,Ahumada,Glafornil 850 mg x 60 Comprimidos Recubiertos,22195.0,0.6713443492890162
metformina,Ahumada,Glafornil XR 1000 mg x 30 Comprimidos De Liberación Prolongada,25395.0,0.7681365059785793
metformina,Ahumada,Glafornil XR 500 mg x 30 Comprimidos De Liberación Prolongada,11195.0,0.3386213106686433
metformina,Ahumada,Glafornil XR 750 mg x 30 Comprimidos De Liberación Prolongada,21095.0,0.6380720454269789
metformina,Ahumada,Glaupax 500 Mg X 30comp Rec,7695.0,0.2327548892894337
metformina,Ahumada,Glaupax 850 Mg X 30comp Rec,6845.0,0.20704447266876846
metformina,Ahumada,Glaupax XR 1000 mg x 30 Comprimidos de Liberación Prolongada,15095.0,0.4565867516340482
metformina,Ahumada,Glaupax XR 500 mg x 30 Comprimidos Recubiertos De Liberación Prolongada,8995.0,0.27207670294456865
metformina,Ahumada,Glaupax XR 750 mg x 30 Comprimidos Recubiertos De Liberación Prolongada,12795.0,0.3870173890134248
atorvastatina,Ahumada,LIPOTEN 80 MG 28COMP,31295.0,0.9465970448749612
atorvastatina,Ahumada,LOWDEN 10MG. CAJA 30 COMP.,18295.0,0.5533789083236113
atorvastatina,Ahumada,Lowden 10 mg x 60 Comprimidos Recubiertos,35795.0,1.0827110152196593
atorvastatina,Ahumada,LIPOTEN 40 MG 28COMP,29395.0,0.8891267018405331
atorvastatina,Ahumada,HIPOLIXAN 10MG. CAJA 30 COMP.,10695.0,0.32349753618589905
atorvastatina,Ahumada,Atorvastatina 10 mg x 30 Comprimidos Recubiertos,2695.0,0.08151714446199139
atorvastatina,Ahumada,LOWDEN 20MG. CAJA 30 COMP.,30995.0,0.9375227801853148
atorvastatina,Ahumada,LOWDEN 20MG. 60 COMP. REC.,47195.0,1.4275330734262277
atorvastatina,Ahumada,LOWDEN 40MG. CAJA 30 COMP.,33895.0,1.0252406721852312
atorvastatina,Ahumada,Lipitor 10 mg x 30 Comprimidos Recubiertos,50995.0,1.5424737594950837
atorvastatina,Ahumada,Lipitor 40 mg x 30 Comprimidos Recubiertos,66995.0,2.026434542942899
atorvastatina,Ahumada,Lipitor 80 mg x 30 Comprimido Recubiertos,72995.0,2.20791983673583
atorvastatina,Ahumada,Lipitor 10 mg x 60 Comprimidos Recubiertos,64995.0,1.9659394450119219
atorvastatina,Ahumada,Lipitor 20 mg x 30 Comprimidos Recubiertos,69995.0,2.1171771898393645
atorvastatina,Ahumada,Lipitor 20 mg x 60 Comprimidos Recubiertos,93595.0,2.831019345424892
atorvastatina,Ahumada,Lipitor 20 mg x 90 Comprimidos Recubiertos,101995.0,3.0850987567349955
